TimeStamp,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Roll,Pitch,Yaw,Qw,Qx,Qy,Qz
56923.000000,0.988,-0.012,-0.174,0.03,0.00,0.02,-42.04,0.50,-25.13,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56933.000000,0.990,-0.015,-0.171,0.11,0.16,0.06,-42.35,0.21,-25.33,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56943.000000,0.990,-0.013,-0.170,0.03,0.08,0.02,-42.63,0.50,-25.50,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56953.000000,0.992,-0.012,-0.175,0.05,0.00,-0.00,-42.50,0.27,-25.33,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56963.000000,0.989,-0.011,-0.174,0.07,-0.02,-0.11,-42.17,0.63,-25.25,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56973.000000,0.989,-0.015,-0.174,0.03,0.08,-0.02,-42.31,0.08,-25.38,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56983.000000,0.989,-0.013,-0.167,-0.03,0.04,0.02,-42.13,0.13,-25.21,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
56993.000000,0.989,-0.013,-0.175,0.07,0.02,0.02,-42.04,0.21,-25.25,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
57003.000000,0.990,-0.015,-0.174,0.05,-0.06,-0.06,-42.63,0.21,-24.79,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
57013.000000,0.988,-0.013,-0.172,0.05,0.04,0.06,-42.08,0.08,-25.29,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
57023.000000,0.993,-0.016,-0.171,0.01,0.08,-0.04,-43.00,0.04,-25.13,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
57033.000000,0.986,-0.013,-0.171,0.03,0.04,-0.00,-42.96,0.27,-24.96,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
57043.000000,0.988,-0.015,-0.171,0.03,0.02,-0.00,-43.00,0.27,-25.29,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
57053.000000,0.990,-0.015,-0.174,0.01,-0.06,0.02,-43.08,0.39,-25.13,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
57063.000000,0.986,-0.015,-0.172,0.11,0.12,-0.00,-42.13,-0.27,-25.38,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
57073.000000,0.989,-0.012,-0.174,0.07,-0.06,-0.08,-42.67,-0.17,-25.08,-99.90,-0.81,97.13,0.422,0.571,-0.510,0.486
